Tweet,Sentiment
@pbump I think it's more like many love to sue so they don't have to work so IKEA is covering their asses.,positive
Top down...diy day was long (had to go back to IKEA first) https://t.co/5S8szco2gv,neutral
Are we there yet? #homebuild #newpaint #ihopeilileitinthemorning #ikea https://t.co/WrqmP7DPVD,neutral
It's 2am and I'm sat on IKEA website loving life,positive
📍 #IKEA,neutral
#ClassDojo #hacking 24/7,neutral
how to🎮 shop +,neutral
replace😐 a boyfriend/suitor.,neutral
#SiliconValley #Discrimination… https://t.co/EtlSv256Pr,neutral
"After much persuasion by @GavMakesGames, I've finally went ahead and bought a Markus chair from Ikea. And it's great.",positive
RT @K_Brickell: Ikea has filled every home I’ve rented. Now I want something more stable #home #housing #temporary  https://t.co/N4qN3WEnUk,negative
@DallenTooFly IKEA the best but spots in Chinatown or Harwin cool in the sense of bargaining,neutral
"Every time I go to ikea, I'm like this is the best decision I've ever made! Why don't go to ikea every week of my life",positive
RT @plsruinme: mendes household be serving ikea fall catalogue looks https://t.co/rmdPQOk9GW,neutral
"""(the) purchase of TaskRabbit will get Ikea even more deeply into the tech space,"" - Recode - https://t.co/tpRfEIytx2",neutral
Joesph and I went back to IKEA so I could get tiny plants and another coffee pot,neutral
I liked a @YouTube video https://t.co/5ZIZWbDGkR Guy annoys girlfriend with puns at Ikea,neutral
RT @mashable: IKEA is branching out into clean energy https://t.co/piFBzogec2,neutral
RT @berniethoughts: WE DESERVE TO KNOW WHAT THE NAMES OF OUR IKEA FURNITURE MEAN—AS EACH ONE MAY BE PIECE TO AN ANCIENT AND DANGEROUS PUZZLE,positive
RT @mashable: Ikea is now selling a bicycle because why not https://t.co/UcBCjJxsGZ,neutral
Ikea Buys TaskRabbit https://t.co/lLeJQGibZC,neutral
Inspiring IKEA furniture transformations. Get Inspired! Let's chat! loriealsellhomes@gmail.com or call/text... https://t.co/plaxtxf1Aq,positive
Ikea furniture is easy. It's like Legos for adults.,neutral
Except the Legos are on fire,neutral
You're on fire,neutral
Everything is on fire,neutral
And you're in hell,negative
In a IKEA mood,neutral
Why am I headed to Ikea instead of actually doing my homework?,negative
"#architecture #interiordesign #deco Dezeen at IKEA Festival: yoga, live synth shows and a painting...… https://t.co/mXEdGxO4cq",neutral
I'm giving away something for you on @Listia:  ~*~IKEA Festa Champagne Glass Stem Decor. Get it here - https://t.co/FxIGzo5POG,neutral
I'm giving away something for you on @Listia:  ~*~IKEA Festa Champagne Glass Stem Decor. Get it here - https://t.co/VglsbBxGri,neutral
I love building ikea furniture 😩😍,positive
I miss ikea,neutral
RT @dose: This is IKEA meets Hot Wheels. https://t.co/UCZzrrPl2b,neutral
"#architecture #interiordesign #deco Dezeen at IKEA Festival: yoga, live synth shows and a painting...… https://t.co/8IiheUpMgq",neutral
RT @berniethoughts: WE DESERVE TO KNOW WHAT THE NAMES OF OUR IKEA FURNITURE MEAN—AS EACH ONE MAY BE PIECE TO AN ANCIENT AND DANGEROUS PUZZLE,positive
Real talk- I need somebody to drive me to IKEA soon please. Gotta fix this itch somehow and I hate online shopping for interior shit,negative
"RT @sporeprince: BEARS DONT HAVE DIGITIGRADE LEGS, IKEA!!!!!!!!! https://t.co/J6CdTSHZuV",neutral
"RT @reayonce: fuck taking a girl to a movie or a restaurant on a date, it's 2017. we're taking girls to ikea now. dresser and lamp on me, b…",negative
RT @plsruinme: mendes household be serving ikea fall catalogue looks https://t.co/rmdPQOk9GW,neutral
My drawer broke &amp; Wendy got tired of me putting it off so today we went to ikea and she bought me a new dresser &amp; a stuffed animal,negative
RT @InteriorMinded: Ikea is about to kill the pain of flatpack furniture https://t.co/NqTRyTEP0f,neutral
Petition to get rid of North Korea and turn the land into a giant IKEA,neutral
me vs ikea. i won.,positive
Future of shopping Ingenious Integration of Augmented Reality with IKEA,neutral
https://t.co/lGbiK12PnA,neutral
Ikea is about to kill the pain of flatpack furniture https://t.co/NqTRyTEP0f,neutral
RT @BristolPost: Someone is organising a huge game of hide-and-seek in Ikea in Bristol and a thousand people say they are playing,neutral
https://…,neutral
RT @mashable: IKEA is branching out into clean energy https://t.co/piFBzogec2,neutral
at ikea just to eat dinner w also broke friends lmao. this caf is poppin,negative
That's it,neutral
Gay IKEA Boy is divorcing you lmao,negative
RT @viviantran06: everyone takes pictures at places such as watters creek &amp; shops at legacy meanwhile there’s us at ikea https://t.co/VRYh7…,neutral
Tried to go to Ikea....just nope. Maybe next week/month/year...right now it's hell for people who don't like people...like me.,negative
"RT @hammondfuturist: Ikea is now selling a £3,000 home battery for storing renewable energy. Going mainstream! #futurist https://t.co/wvl4W…",neutral
"RT @PriyaSamCTV: In @CTVMorningAtl news: #NS finance minister responds to budget questions, #IWK board chair on expenses scandal &amp; long lin…",neutral
RT @distracted_monk: I wander around 711 the way most people wander around IKEA.,neutral
IKEA's Creative Hub in Malmö features moody library and walls for scribbling https://t.co/k2tBbhrqW5,neutral
RT @mashable: IKEA is branching out into clean energy https://t.co/piFBzogec2,neutral
RT @berniethoughts: WE DESERVE TO KNOW WHAT THE NAMES OF OUR IKEA FURNITURE MEAN—AS EACH ONE MAY BE PIECE TO AN ANCIENT AND DANGEROUS PUZZLE,positive
RT @CTVAnchor: Some assembly required... just to get in to the sprawling new IKEA in Dartmouth!  See what thousands were waiting for at 6.…,neutral
i wanna go to IKEA with lo again but her fall break is the weeek after mine 😤,positive
Today at IKEA a woman told me I have my head in the clouds but that I'm a good boy and very handsome.,negative
RT @FastCoDesign: Why @IKEAUSA just bought a tech company https://t.co/S4Vv9GqoV4 https://t.co/oeKoB1dIut,neutral
@quickersparrows Did u hate ikea monkey :(,negative
RT @beatmybrain: hey could u maybe text me back im trying to have sex with u at ikea,neutral
RT @INDIEWASHERE: this week i released tht amazon is like ikea but for depressed millennials to order random items at 3.am while drinking a…,negative
IKEA enters gig economy by acquiring TaskRabbit https://t.co/5jjhKXmwgk,neutral
The smart home is getting cheaper https://t.co/XY72QgeHIh,neutral
RT @rosskukulinski: I just designed the best IKEA couch https://t.co/wxLiyDZl4a,positive
RT @beatmybrain: hey could u maybe text me back im trying to have sex with u at ikea,neutral
"RT @JosephScrimshaw: Hello, Ikea? Yes, my package didn't contain the two sensitive ghosts who are supposed to hold my bookcase together htt…",negative
RT @distracted_monk: I wander around 711 the way most people wander around IKEA.,neutral
RT @mashable: IKEA is branching out into clean energy https://t.co/piFBzogec2,neutral
RT @quantumcompass: IKEA enters gig economy by acquiring TaskRabbit https://t.co/UBFwR3ePBZ,neutral
"In a move to remind consumers just how hip Ikea is, the Swedish furniture chain took aim at the apple of Tim... https://t.co/Qnc1lfK9hQ",neutral
RT @opheliap: ’@IKEA Genius Recipe Posters Make Cooking Effortless With A Simple Trick. https://t.co/vFTNjjcvdZ #creativity #innovation,positive
RT @tonyrowley: I'm pretty sure IKEA is hell,positive
IKEA enters gig economy by acquiring TaskRabbit https://t.co/UBFwR3ePBZ,neutral
’@IKEA Genius Recipe Posters Make Cooking Effortless With A Simple Trick. https://t.co/vFTNjjcvdZ #creativity #innovation,positive
RT @MrMearsDT_Notts: More interesting ideas from @IKEA @julieboydonline you'll like this one! #Aterstalla #socialenterprise #textiles https…,positive
Eek! Absolutely loving my Sunday #DIY project! Taking all of that broken IKEA backing off of my… https://t.co/B83Xl2Vr46,positive
RT @FastCoDesign: Why @IKEAUSA just bought a tech company https://t.co/S4Vv9GqoV4 https://t.co/oeKoB1dIut,neutral
